Bid Item Category,Bid Item Num,Bid Item Number,Bid Item Description,Quantity,UOM
214,950,214-00950,Perennials (5 Gallon Container),0,EACH
214,1000,214-01000,Bulb,0,EACH
214,1010,214-01010,Brush Layer Cutting,0,EACH
214,1011,214-01011,Brush Layer Cutting,0,SY
214,1015,214-01015,Willow Cuttings,0,EACH
214,1017,214-01017,Herbaceous Wetland Plants (10 Cubic Inch Plug),0,EACH
214,1020,214-01020,Hedge Layer Plant,0,EACH
214,1025,214-01025,Dormant Log Cutting,0,EACH
214,1030,214-01030,Wattle,0,EACH
214,1031,214-01031,Facines,0,EACH
214,1110,214-01110,Planter Soil Mix,0,CY
214,1120,214-01120,Gambel Oak Acorn Pocket Planting,0,EACH
214,1130,214-01130,Plant Condensation Trap (4x4),0,EACH
214,1140,214-01140,Plant Shade Shelter,0,EACH
214,1200,214-01200,Plant (Tubeling),0,EACH
214,1210,214-01210,Plant (Tubeling) (Furnish Only),0,EACH
214,1215,214-01215,Plant (Tubeling) (Install Only),0,EACH
214,1220,214-01220,Plant (Bareroot) (Furnish Only),0,EACH
214,1225,214-01225,Plant (Bareroot) (Install Only),0,EACH
214,1227,214-01227,Rootwad,0,EACH
214,1228,214-01228,Riprap Planting Pocket,0,EACH
214,1229,214-01229,Wetland Sod Mat,0,SF
214,1230,214-01230,Plant (2.25 Inch Pot) (Furnish Only),0,EACH
214,1235,214-01235,Plant (2.25 Inch Pot) (Install Only),0,EACH
214,1310,214-01310,Plant (1 Gallon Container) (Furnish Only),0,EACH
214,1315,214-01315,Plant (1 Gallon Container) (Install Only),0,EACH
214,1350,214-01350,Plant (5 Gallon Container) (Furnish Only),0,EACH
214,1355,214-01355,Plant (5 Gallon Container) (Install Only),0,EACH
214,1370,214-01370,Plant (7 Gallon Container) (Furnish Only),0,EACH
214,1375,214-01375,Plant (7 Gallon Container) (Install Only),0,EACH
214,1401,214-01401,Nursery Stock Deep Rooted Container (DRC # 10),0,EACH
214,1402,214-01402,Nursery Stock Deep Rooted Container (DRC # 40),0,EACH
214,1403,214-01403,Nursery Stock Deep Rooted Container (DRC # 60),0,EACH
214,1404,214-01404,Nursery Stock Deep Rooted Container (DRC # 180),0,EACH
214,1405,214-01405,Nursery Stock Deep Rooted Container (DRC # 300),0,EACH
214,1410,214-01410,Nursery Stock Small Pot Container (#SP4),0,EACH
214,1420,214-01420,Nursery Stock Container (#1),0,EACH
214,1421,214-01421,Nursery Stock Container (#5),0,EACH
214,1422,214-01422,Nursery Stock Container (#10),0,EACH
214,1424,214-01424,Nursery Stock Container (#20),0,EACH
214,6034,214-06034,White Fir (Abies Concolor) (4 Foot),0,EACH
214,6836,214-06836,Vine Maple (Acer Circinatum) (6 Foot),0,EACH
214,7232,214-07232,Amur Maple (Acer Ginnala) (2 Foot),0,EACH
214,7233,214-07233,Compact Amur Maple (Acer Ginnala Compacta) (3 Foot),0,EACH
214,7234,214-07234,Amur Maple (Acer Ginnala) (4 Foot),0,EACH
214,7236,214-07236,Amur Maple (Acer Ginnala) (6 Foot),0,EACH
214,7238,214-07238,Amur Maple (Acer Ginnala) (8 Foot),0,EACH
214,7334,214-07334,Rocky Mountain Maple (Acer Glabrum) (4 Foot),0,EACH
214,7412,214-07412,Big-Toothed Maple (Acer Grandidentatum) (12 Inch),0,EACH
214,7712,214-07712,Boxelder (Acer Negundo) (12 Inch),0,EACH
214,7736,214-07736,Boxelder (Acer Negundo) (6 Foot),0,EACH
214,7738,214-07738,Boxelder (Acer Negundo) (8 Foot),0,EACH
214,7760,214-07760,Boxelder (Acer Negundo) (2 Inch Caliper),0,EACH
214,7765,214-07765,Boxelder (Acer Negundo) (2-1/2 Inch Caliper),0,EACH
214,8160,214-08160,Norway Maple (Acer Platanoides) (2 Inch Caliper),0,EACH
214,8460,214-08460,Schwedler Maple (Acer Platanoides Schwedleri) (2 Inch Calipe,0,EACH
214,8480,214-08480,Norway Maple (Acer Platanoides) (4 Inch Caliper),0,EACH
214,8580,214-08580,Red Sunset Maple (Acer Rubrum) (4 Inch Caliper),0,EACH
214,9036,214-09036,Silver Maple (Acer Saccharinum) (6 Foot),0,EACH
214,9060,214-09060,Silver Maple (Acer Saccharinum) (2 Inch Caliper),0,EACH
214,9065,214-09065,Silver Maple (Acer Saccharinum) (2-1/2 Inch Caliper),0,EACH
214,9170,214-09170,Blair Maple (Acer Saccharinum 'Blair') (3 Inch Caliper),0,EACH
214,9634,214-09634,Tatarian Maple (Acer Tataricum) (4 Foot),0,EACH
214,10360,214-10360,Ohio Buckeye (Aesculus Glabra) (2 Inch Caliper),0,EACH
214,10370,214-10370,Ohio Buckeye (Aesculus Glabra) ( 2-1/2 Inch Caliper),0,EACH
214,10450,214-10450,Horse Chestnut (Aesculus Hippocastanum) (2-1/2 Inch Caliper),0,EACH
214,10480,214-10480,Horse Chestnut (Aesculus Hippocastanum) (4 Inch Caliper),0,EACH
214,10655,214-10655,Yellow Buckeye (Aesculus Octandra) (1-1/2 Inch Caliper),0,EACH
214,10680,214-10680,Yellow Buckeye (Aesculus Octandra) (4 Inch Caliper),0,EACH
214,11632,214-11632,Thinleaf Alder (Alnus Tenuifolia) (2 Foot),0,EACH
214,11735,214-11735,Treeofheaven (Ailanthus Altissima) (5 Foot),0,EACH
214,11760,214-11760,Treeofheaven (Ailanthus Altissima) (2 Inch Caliper),0,EACH
214,11812,214-11812,Saskatoon Serviceberry (Amelanchier Alnifolia) (12 Inch),0,EACH
214,11832,214-11832,Saskatoon Serviceberry (Amelanchier Alnifolia) (2 Foot),0,EACH
214,11833,214-11833,Saskatoon Serviceberry (Amelanchier Alnifolia) (3 Foot),0,EACH
214,11836,214-11836,Shadblow Serviceberry (Amelanchier Canadensis) (6 Foot),0,EACH
214,11852,214-11852,Utah Serviceberry (Amelanchier Utahensis) (12 Inch),0,EACH
214,11912,214-11912,Leadplant Amorpha (Amorpha Canescens) (12 Inch),0,EACH
214,11918,214-11918,Leadplant Amorpha (Amorpha Canescens) (18 Inch),0,EACH
214,12101,214-12101,Kinnikinnick (Arctostaphylos Uva-Ursi) (2-1/4 Inch Pot),0,EACH
214,12102,214-12102,Kinnikinnick (Arctostaphylos Uva-Ursi) (No. 1),0,EACH
214,12108,214-12108,Fringed Sagebrush (Artemisia Frigida) (8 Inch),0,EACH
214,12212,214-12212,Oldman Wormwood (Artemisia Abrotanum) (12 Inch),0,EACH
214,12233,214-12233,Oldman Wormwood (Artemisia Abrotanum) (3 Foot),0,EACH
214,12308,214-12308,Louisiana Sagebrush (Artemisia Ludoviciana) (8 Inch),0,EACH
214,12312,214-12312,Black Sagebrush (Artemesia Nova) (12 Inch),0,EACH
214,12408,214-12408,Big Sagebrush (Artemisia Tridentata) (8 Inch),0,EACH
214,12415,214-12415,Big Sagebrush (Artemisia Tridentata) (15 Inch),0,EACH
214,12433,214-12433,Big Sagebrush (Artemisia Tridentata) (3 Foot),0,EACH
214,12508,214-12508,Fourwing Saltbush (Atriplex Canescens) (8 Inch),0,EACH
214,12518,214-12518,Fourwing Saltbush (Atriplex Canescens) (18 Inch),0,EACH
214,12708,214-12708,Gardner Saltbush (Atriplex Gardneri) (8 Inch),0,EACH
214,13072,214-13072,Korean Barberry (Berberis Koreana) (2 Foot),0,EACH
214,13132,214-13132,Japanese Barberry (Berberis Thunbergi) (2 Foot),0,EACH
214,13232,214-13232,Redleaf Japanese Barberry (Berberis Thunbergi Atropurpurea),0,EACH
214,13865,214-13865,European White Birch (Betula Alba) (2-1/2 Inch Caliper),0,EACH
214,14032,214-14032,River Birch (Betula Occidentalis) (2 Foot),0,EACH
214,14234,214-14234,Water Birch (Betula Fontinalis) (4 Foot),0,EACH
214,14340,214-14340,Paper Birch (Betula Papyrifera) (10 Foot),0,EACH
214,15160,214-15160,Cutleaf Weeping Birch (Betula Pendula Lacinata) (2 Inch Cali,0,EACH
214,17018,214-17018,Siberian Peashrub (Caragana Arborescens) (18 Inch),0,EACH
214,17032,214-17032,Siberian Peashrub (Caragana Arborescens) (2 Foot),0,EACH
214,17034,214-17034,Siberian Peashrub (Caragana Arborescens) (4 Foot),0,EACH
214,17518,214-17518,Pygmy Peashrub (Caragana Pygmaea) (18 Inch),0,EACH
214,18002,214-18002,Bluemist Spirea (Caryopteris Clandonensis) (No. 1),0,EACH
214,19035,214-19035,Western Catalpa (Catalpa Speciosa) (5 Foot),0,EACH
214,19036,214-19036,Western Catalpa (Catalpa Speciosa) (6 Foot),0,EACH
214,19065,214-19065,Western Catalpa (Catalpa Speciosa) (2-1/2 Inch Caliper),0,EACH
214,19108,214-19108,Snowbrush Ceanothus (Ceanothus Velutinus) (8 Inch),0,EACH
214,19703,214-19703,American Bittersweet (Celastrus Scandens) (2 Year No. 1),0,EACH
214,20236,214-20236,Common Hackberry (Celtis Occidentalis) (6 Foot),0,EACH
214,20238,214-20238,Common Hackberry (Celtis Occidentalis) (8 Foot),0,EACH
214,20260,214-20260,Common Hackberry (Celtis Occidentalis) (2 Inch Caliper),0,EACH
214,20265,214-20265,Common Hackberry (Celtis Occidentalis) (2-1/2 Inch Caliper),0,EACH
214,20280,214-20280,Common Hackberry (Celtis Occidentalis) (4 Inch Caliper),0,EACH
214,20303,214-20303,Snow-In-Summer (Cerastium Tomentosum) (3 Inch Pot),0,EACH
214,20508,214-20508,Mountainmahogany (Cercocarpus Montanus) (8 Inch),0,EACH
214,20512,214-20512,Mountainmahogany (Cercocarpus Montanus) (12 Inch),0,EACH
214,20533,214-20533,Mountainmahogany (Cercocarpus Montanus) (3 Foot),0,EACH
214,20633,214-20633,Japanese Floweringquince (Chaenomeles Japonica) (3 Foot),0,EACH
214,20712,214-20712,Greenplume Rabbitbrush (Chrysothamnus Graveolens) (12 Inch),0,EACH
214,20802,214-20802,Crownvetch (Coronilla Varia) (1 Year No. 1),0,EACH
214,20903,214-20903,Western Virginsbower (Clematis Ligusticifolia) (2 Year No. 1,0,EACH
214,20923,214-20923,Yellow Clematis (Clematis Orientalis) (2 Year No. 1),0,EACH
214,21006,214-21006,Rubber Rabbitbrush (Chrysothamnus Nauseosus) (6 Inch),0,EACH
214,21012,214-21012,Rubber Rabbitbrush (Chrysothamnus Nauseosus) (12 Inch),0,EACH
214,21018,214-21018,Rubber Rabbitbrush (Chrysothamnus Nauseosus) (18 Inch),0,EACH
214,21024,214-21024,Rubber Rabbitbrush (Chrysothamnus Nauseosus) (24 Inch),0,EACH
214,21134,214-21134,Redtwig Dogwood (Cornus Baileyi) (4 Foot),0,EACH
214,21233,214-21233,Gray Dogwood (Cornus Racemosa) (3 Foot),0,EACH
214,21412,214-21412,Redosier Dogwood (Cornus Stolonifera) (12 Inch),0,EACH
214,21433,214-21433,Redosier Dogwood (Cornus Stolonifera) (3 Foot),0,EACH
214,21434,214-21434,Redosier Dogwood (Cornus Stolonifera) (4 Foot),0,EACH
214,21435,214-21435,Redosier Dogwood (Cornus Stolonifera) (5 Foot),0,EACH
214,21532,214-21532,Colorado Redosier Dogwood (Cornus Stolonifera Coloradensis),0,EACH
214,21533,214-21533,Colorado Redosier Dogwood (Cornus Stolonifera Coloradensis),0,EACH
214,21534,214-21534,Colorado Redosier Dogwood (Cornus Stolonifera Coloradensis),0,EACH
214,21834,214-21834,Yellowtwig Dogwood (Cornus Stolonifera Flaviramea) (4 Foot),0,EACH
214,21932,214-21932,Isanti Dogwood (Cornus Stolonifera Isanti) (2 Foot),0,EACH
214,22518,214-22518,Peking Cotoneaster (Cotoneaster Acutifolia) (18 Inch),0,EACH
214,22532,214-22532,Peking Cotoneaster (Cotoneaster Acutifolia) (2 Foot),0,EACH
214,22801,214-22801,Cranberry Cotoneaster (Coton Easter Apiculata) (2-1/4 Inch P,0,EACH
214,22802,214-22802,Cranberry Cotoneaster (Coton Easter Apiculata) (2 Foot),0,EACH
214,22812,214-22812,Coral Beauty Cotoneaster (Cotoneaster Dammeri) (12 Inch),0,EACH
214,23432,214-23432,Rock Cotoneaster (Cotoneaster Horizontalis) (2 Foot),0,EACH
214,23532,214-23532,European Cotoneaster (Cotoneaster Integerrima) (2 Foot),0,EACH
214,23832,214-23832,Cotoneaster Multiflora (Cotoneaster Multiflora) (2 Foot),0,EACH
214,24312,214-24312,Stansbury Cliffrose (Cowania Mexicana) (12 Inch),0,EACH
214,24734,214-24734,Colorado Hawthorn (Crataegus Coloradensis) (4 Foot),0,EACH
214,25734,214-25734,Cockspur Hawthorn (Crataegus Crusgalli) (4 Foot),0,EACH
214,25736,214-25736,Cockspur Hawthorn (Crataegus Crusgalli) (6 Foot),0,EACH
214,26036,214-26036,Downy Hawthorn (Crataegus Mollis) (6 Foot),0,EACH
214,26136,214-26136,Toba Hawthorn (Crataegus Oxycantha Toba) (6 Foot),0,EACH
214,26235,214-26235,Washington Hawthorn (Crataegus Phaenopyrum) (5 Foot),0,EACH
214,26260,214-26260,Washington Hawthorn (Crataegus Phaenopyrum) (2 Inch Caliper),0,EACH
214,26270,214-26270,Washington Hawthorn (Crataegus Phaenopyrum) (3 Inch Caliper),0,EACH
214,27032,214-27032,Russianolive (Elaeagnus Angustifolia) (2 Foot),0,EACH
214,27035,214-27035,Russianolive (Elaeagnus Angustifolia) (5 Foot),0,EACH
214,27036,214-27036,Russianolive (Elaeagnus Angustifolia) (6 Foot),0,EACH
214,27055,214-27055,Russianolive (Elaeagnus Angustifolia) (1-1/2 Inch Caliper),0,EACH
214,27060,214-27060,Russianolive (Elaeagnus Angustifolia) (2 Inch Caliper),0,EACH
214,27312,214-27312,Silverberry (Elaeagnus Commutata) (12 Inch),0,EACH
214,27333,214-27333,Silverberry (Elaeagnus Commutata) (3 Foot),0,EACH
214,27408,214-27408,Green Mormon Tea (Ephedra Viridis) (8 Inch),0,EACH
214,27533,214-27533,Autumn Elaeagnus (Elaeagnus Umbellata) (3 Foot),0,EACH
214,28133,214-28133,Winged Euonymus (Euonymus Alatus) (3 Foot),0,EACH
214,28533,214-28533,Winged Euonymus Compacta (Euonymus Alatus Compacta) (3 Foot),0,EACH
214,29033,214-29033,European Euonymus (Euonymus Europaeus) (3 Foot),0,EACH
214,29034,214-29034,European Euonymus (Euonymus Europaeus) (4 Foot),0,EACH
214,29212,214-29212,Common Winterfat (Eurotia Lanata) (12 Inch),0,EACH
214,30018,214-30018,Apacheplume (Fallugia Paradoxa) (18 Inch),0,EACH
214,31212,214-31212,New Mexican Forestiera (Forestiera Neomexicana) (12 Inch),0,EACH
214,31218,214-31218,New Mexican Forestiera (Forestiera Neomexicana) (18 Inch),0,EACH
214,31233,214-31233,New Mexican Forestiera (Forestiera Neomexicana) (3 Foot),0,EACH
214,31518,214-31518,Forsythia Arnolds Dwarf (Forsythia X Intermedia Arnolds Dwar,0,EACH
214,31718,214-31718,Japanese Forsythia (Forsythia Japonica) (18 Inch),0,EACH
214,31732,214-31732,Japanese Forsythia (Forsythia Japonica) (2 Foot),0,EACH
214,32460,214-32460,White Ash (Fraxinus Americana) (2 Inch Caliper),0,EACH
214,33000,214-33000,Green Ash (Fraxinus Pennsylvanica Lanceolata) (4 Inch Calipe,0,EACH
214,33036,214-33036,Purple Ash (Fraxinus Autumn Purple) (6 Foot),0,EACH
214,33060,214-33060,Autumn Purple Ash (Fraxinus Americana) (2 Inch Caliper),0,EACH
214,33080,214-33080,Autumn Purple Ash (Fraxinus Americana) (4 Inch Caliper),0,EACH
214,33636,214-33636,Green Ash (Fraxinus Pennsylvanica Lanceolata) (6 Foot),0,EACH
214,33638,214-33638,Green Ash (Fraxinus Pennsylvanica Lanceolata) (8 Foot),0,EACH
214,33660,214-33660,Green Ash (Fraxinus Pennsylvanica Lanceolata) (2 Inch Calipe,0,EACH
214,33665,214-33665,Green Ash (Fraxinus Pennsylvanica Lanceolata) (2-1/2 Inch Ca,0,EACH
214,33865,214-33865,Marshall Seedless Ash (Fraxinus Pennsylvanica Marshall) (2-1,0,EACH
214,33870,214-33870,Marshall Seedless Ash (Fraxinus Pennsylvanica Marshall) (3 I,0,EACH
214,33880,214-33880,Marshall Seedless Ash (Fraxinus Pennsylvanica Marshall) (4 I,0,EACH
214,35038,214-35038,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (8 Foo,0,EACH
214,35055,214-35055,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (1-1/2,0,EACH
214,35060,214-35060,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (2 Inc,0,EACH
214,35065,214-35065,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (2-1/2,0,EACH
214,35075,214-35075,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (3 1/2,0,EACH
214,35080,214-35080,Thornless Honeylocust (Gleditsia Triacanthos Inermis) (4 Inc,0,EACH
214,35638,214-35638,Moraine Locust (Gleditsia Tricanthos Inermis Moraine) (8 Foo,0,EACH
214,35665,214-35665,Moraine Locust (Gleditsia Tricanthos Inermis Moraine) (2-1/2,0,EACH
214,35675,214-35675,Shademaster Honeylocust (Gleditsia Triacanthos Inermis Shade,0,EACH
214,35680,214-35680,Shademaster Honeylocust (Gleditsia Triacanthos Shademaster),0,EACH
214,35765,214-35765,Skyline Honeylocust (Gleditsia Triacanthos Inermis Skyline),0,EACH
214,35780,214-35780,Skyline Honeylocust (Gleditsia Triacanthos Inermis Skyline),0,EACH
214,35865,214-35865,Sunburst Locust (Gleditsia Triacanthos Sunburst) (2-1/2 Inch,0,EACH
214,36465,214-36465,Kentucky Coffeetree (Gymnocladus Dioicus) (2-1/2 Inch Calipe,0,EACH
214,36470,214-36470,Kentucky Coffeetree (Gymnocladus Dioicus) (3 Inch Caliper),0,EACH
214,36600,214-36600,Daylilly (Hemerocallis) (1 Gal),0,EACH
214,36732,214-36732,Rock Spirea (Holodiscus Dumosus) (2 Foot),0,EACH
214,36832,214-36832,Armstrong Juniper (Juniperus Chinensis Armstrong) (2 Foot),0,EACH
214,37060,214-37060,Eastern Black Walnut (Juglans Nigra) (2 Inch Caliper),0,EACH
214,37532,214-37532,Blueleaf Juniper (Juniperus Chinensis Glauca) (2 Foot),0,EACH
214,37732,214-37732,Old Gold Juniper (Juniperus Chinensis Old Gold) (2 Foot),0,EACH
214,38032,214-38032,Pfitzer Juniper (Juniperus Chinensis Pfitzeriana) (2 Foot),0,EACH
214,38033,214-38033,Pfitzer Juniper (Juniperus Chinensis Pfitzeriana) (3 Foot),0,EACH
214,38132,214-38132,Gold Tip Pfitzer Juniper (Juniperus Chinensis Pfitzeriana Au,0,EACH
214,38232,214-38232,Blue Pfitzer Juniper (Juniperus Chinensis Pfitzeriana Glauca,0,EACH
214,38332,214-38332,Mountain Common Juniper (Juniperus Communis Saxatilis) (2 Fo,0,EACH
214,38431,214-38431,Prince of Wales Juniper (Juniperus Horizontalis) (18 Inch),0,EACH
214,38432,214-38432,Blue Chip Juniper (Juniperus Horizontalis) (2 Foot),0,EACH
214,38515,214-38515,Andorra Creeping Juniper (Juniperus Horizontalis Plumosa) (1,0,EACH
214,38532,214-38532,Andorra Creeping Juniper (Juniperus Horizontalis Plumosa) (2,0,EACH
214,38612,214-38612,Creeping Juniper (Juniperus Virginiana Horizontalis) (12 Inc,0,EACH
214,38732,214-38732,Arcadia Juniper (Juniperus Horizontalis Arcadia) (2 Foot),0,EACH
214,38736,214-38736,One Seed Juniper (Juniperus Monosperma) (6 Foot),0,EACH
214,38786,214-38786,One Seed Juniper (Juniperus Monosperma) (6 Foot),0,EACH
214,38832,214-38832,Japgarden Juniper (Juniperus Procumbens) (2 Foot),0,EACH
214,38932,214-38932,Broadmoor Juniper (Juniperus Sabina Broadmoor) (2 Foot),0,EACH
214,39032,214-39032,Rocky Mountain Juniper (Juniperus Scopulorum) (2 Foot),0,EACH
214,39033,214-39033,Rocky Mountain Juniper (Juniperus Scopulorum) (3 Foot),0,EACH
214,39034,214-39034,Rocky Mountain Juniper (Juniperus Scopulorum) (4 Foot),0,EACH
214,39035,214-39035,Rocky Mountain Juniper (Juniperus Scopulorum) (5 Foot),0,EACH
214,39232,214-39232,Buffalo Juniper (Juniperus Sabina Buffalo) (2 Foot),0,EACH
214,40018,214-40018,Tamarix Juniper (Juniperus Tamariscifolia) (18 Inch),0,EACH
214,40032,214-40032,Tamarix Juniper (Juniperus Tamariscifolia) (2 Foot),0,EACH
214,40212,214-40212,Utah Juniper (Juniperus Utahensis) (12 Inch),0,EACH
214,40232,214-40232,Utah Juniper (Juniperus Utahensis) (2 Foot),0,EACH
214,40234,214-40234,Utah Juniper (Juniperus Utahensis) (4 Foot),0,EACH
214,40333,214-40333,Eastern Redcedar (Juniperus Virginiana) (3 Foot),0,EACH
214,40534,214-40534,Canaert Redcedar (Juniperus Virginiana Canaerti) (4 Foot),0,EACH
214,40802,214-40802,English Ivy (Hedera Helix) (1 Year No. 1),0,EACH
214,40903,214-40903,Thorndale English Ivy (Hedera Helix) (2 Year No. 1),0,EACH
214,41050,214-41050,Goldenraintree (Koelreuteria Paniculata) (1 Inch Caliper),0,EACH
214,41070,214-41070,Goldenraintree (Koelreuteria Paniculata) (3 Inch Caliper),0,EACH
214,42234,214-42234,European Larch (Larix Decidua) (4 Foot),0,EACH
214,42732,214-42732,European Privet (Ligustrum Vulgare) (2 Foot),0,EACH
214,43203,214-43203,Halls Japanese Honeysuckle (Lonicera Japonica Halliana) (2 Y,0,EACH
214,43432,214-43432,Blueleaf Honeysuckle (Lonicera Korolkowi Zabeli) (2 Foot),0,EACH
214,43602,214-43602,Chinese Wolfberry (Lycium Chinense) (No. 1),0,EACH
214,43803,214-43803,Matrimonyvine (Lycium Halimifolium) (2 Year No. 1),0,EACH
214,43901,214-43901,Moneywort (Lysimachia Nummularia) (2-1/4 Inch Pot),0,EACH
214,44002,214-44002,Creeping Mahonia (Mahonia Repens) (No. 1),0,EACH
214,44132,214-44132,Oregongrape (Mahonia Aquifolium) (2 Foot),0,EACH
214,44234,214-44234,Dolgo Crabapple (Malus Dolgo) (4 Foot),0,EACH
214,44255,214-44255,Dolgo Crabapple (Malus Dolgo) (1-1/2 Inch Caliper),0,EACH
214,44336,214-44336,Ecktermeyer Crabapple (Malus Ecktermeyer) (6 Ft),0,EACH
214,44455,214-44455,Flame Crabapple (Malus Flame) (1-1/2 Caliper),0,EACH
214,44734,214-44734,Hopa Crabapple (Malus Hopa) (4 Foot),0,EACH
214,44735,214-44735,Hopa Crabapple (Malus Hopa) (5 Foot),0,EACH
214,44755,214-44755,Hopa Crabapple (Malus Hopa) (1-1/2 Inch Caliper),0,EACH
214,44760,214-44760,Hopa Crabapple (Malus Hopa) (2 Inch Caliper),0,EACH
214,44855,214-44855,Pink Spire Crabapple (Malus Pink Spire) (1-1/2 Inch Caliper),0,EACH
214,44860,214-44860,Pink Spire Crabapple (Malus Pink Spire) (2 Inch Caliper),0,EACH
214,45035,214-45035,Eley Crabapple (Malus Purpurea Eleyi) (5 Foot),0,EACH
214,45055,214-45055,Eley Crabapple (Malus Purpurea Eleyi) (1-1/2 Inch Caliper),0,EACH
214,45235,214-45235,Radiant Crabapple (Malus Radiant) (5 Foot),0,EACH
214,45255,214-45255,Radiant Crabapple (Malus Radiant) (1-1/2 Inch Caliper),0,EACH
214,45265,214-45265,Radiant Crabapple (Malus Radiant) (2-1/2 Inch Caliper),0,EACH
214,45370,214-45370,Spring Snow Crabapple (Malus Spring Snow) (3 Inch Caliper),0,EACH
214,45555,214-45555,Strathmore Crab (Malus Strathmore) (1-1/2 Inch Caliper),0,EACH
214,45960,214-45960,Fruitless Mulberry (Morus Alba Kingan) (2 Inch Caliper),0,EACH
214,47503,214-47503,Virginia Creeper (Parthenocissus Quinquefolia) (2 Year No. 1,0,EACH
214,47603,214-47603,Engelmann Virginia Creeper (Parthenocissus Quinquefolia Enge,0,EACH
214,47802,214-47802,Colorado Penstemon (Penstemon Coloradensis) (1 Year No. 1),0,EACH
214,48032,214-48032,Squawapple (Peraphyllum Ramosissimum) (2 Foot),0,EACH
214,48634,214-48634,Bigsweet Mockorange (Philadelphus Coronarius) (4 Foot),0,EACH
214,48709,214-48709,Littleleaf Mockorange (Philadelphus Microphyllus) (9 Inch),0,EACH
214,48732,214-48732,Littleleaf Mockorange (Philadelphus Microphyllus) (2 Foot),0,EACH
214,48904,214-48904,Moss Phlox (Phlox Subulata) (1 Gal Container),0,EACH
214,49334,214-49334,Common Ninebark (Physocarpus Opulifolius) (4 Foot),0,EACH
214,49432,214-49432,Goldleaf Ninebark (Physocarpus Opulifolius Luteus) (2 Foot),0,EACH
214,49634,214-49634,Norway Spruce (Picea Abies) (4 Foot),0,EACH
214,50534,214-50534,Engelmann Spruce (Picea Engelmanni) (4 Foot),0,EACH
214,50536,214-50536,Engelmann Spruce (Picea Engelmanni) (6 Foot),0,EACH
214,50540,214-50540,Engelmann Spruce (Picea Engelmanni) (10 Foot),0,EACH
214,51033,214-51033,Colorado Spruce (Picea Pungens) (3 Foot),0,EACH
214,51036,214-51036,Colorado Spruce (Picea Pungens) (6 Foot),0,EACH
214,51038,214-51038,Colorado Spruce (Picea Pungens) (8 Foot),0,EACH
214,51040,214-51040,Colorado Spruce (Picea Pungens) (10 Foot),0,EACH
214,51233,214-51233,Colorado Blue Spruce (Picea Pungens Glauca) (3 Foot),0,EACH
214,51234,214-51234,Colorado Blue Spruce (Picea Pungens Glauca) (4 Foot),0,EACH
214,51235,214-51235,Colorado Blue Spruce (Picea Pungens Glauca) (5 Foot),0,EACH
214,51236,214-51236,Colorado Blue Spruce (Picea Pungens Glauca) (6 Foot),0,EACH
214,51238,214-51238,Colorado Blue Spruce (Picea Pungens Glauca) (8 Foot),0,EACH
214,51240,214-51240,Colorado Blue Spruce (Picea Pungens Glauca) (10 Foot),0,EACH
214,51634,214-51634,Bristlecone Pine (Pinus Aristata) (4 Foot),0,EACH
214,51636,214-51636,Bristlecone Pine (Pinus Aristata) (6 Foot),0,EACH
214,51835,214-51835,Foxtail Pine (Pinus Balfouriana) (5 Foot),0,EACH
214,52233,214-52233,Pinyon Pine (Pinus Cembroides Edulis) (3 Foot),0,EACH
214,52234,214-52234,Pinyon Pine (Pinus Cembroides Edulis) (4 Foot),0,EACH
214,52235,214-52235,Pinyon Pine (Pinus Cembroides Edulis) (5 F0ot),0,EACH
214,52236,214-52236,Pinyon Pine (Pinus Cembroides Edulis) (6 Foot),0,EACH
214,52238,214-52238,Pinyon Pine (Pinus Cembroides Edulis) (8 Foot),0,EACH
214,52240,214-52240,Pinyon Pine (Pinus Cembroides Edulis) (10 Foot),0,EACH
214,52242,214-52242,Pinyon Pine (Pinus Cembroides Edulis) (12 Foot),0,EACH
214,52633,214-52633,Lodgepole Pine (Pinus Contorta Latifolia) (3 Foot),0,EACH
214,52636,214-52636,Lodgepole Pine (Pinus Contorta Latifolia) (6 Foot),0,EACH
214,53032,214-53032,Mugho Swiss Pine (Pinus Mugo Mughus) (2 Foot),0,EACH
214,53533,214-53533,Austrian Pine (Pinus Nigra) (3 Foot),0,EACH
214,53534,214-53534,Austrian Pine (Pinus Nigra) (4 Foot),0,EACH
214,53536,214-53536,Austrian Pine (Pinus Nigra) (6 Foot),0,EACH
214,54033,214-54033,Ponderosa Pine (Pinus Ponderosa) (3 Foot),0,EACH
214,54034,214-54034,Ponderosa Pine (Pinus Ponderosa) (4 Foot),0,EACH
214,54035,214-54035,Ponderosa Pine (Pinus Ponderosa) (5 Foot),0,EACH
214,54036,214-54036,Ponderosa Pine (Pinus Ponderosa) (6 Foot),0,EACH
214,54038,214-54038,Ponderosa Pine (Pinus Ponderosa) (8 Foot),0,EACH
214,54040,214-54040,Ponderosa Pine (Pinus Ponderosa) (10 Foot),0,EACH
214,54042,214-54042,Ponderosa Pine (Pinus Ponderosa) (12 Foot),0,EACH
